ISOALPHA,COUNTRYNM,NAME1,tot_popn_2020,prop_vaxxed,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_vaxxed
MYS,malaysia,sabah,4069622,0.15327651170221135,89,24.48840688131916,16.127547127544865,17.2220799665406,15.327651170221134
MYS,malaysia,sarawak,2692266,0.22633722444680948,89,27.88793993019135,24.10811068320773,25.43114881424825,22.63372244468095
MYS,malaysia,selangor,6820110,0.19818409375234916,89,27.853082982704997,20.937224318639235,22.26787570251114,19.818409375234918
MYS,malaysia,trengganu,1082236,0.20756905453453103,89,26.298970915787496,22.190021409532918,23.322365678037194,20.756905453453104
MYT,mayotte,acoua,4852,0.16650753991962775,77.5,23.863632483981977,18.412229903951655,22.850669064755323,16.650753991962773
MYT,mayotte,bandraboua,13019,0.12471081672506823,77.5,21.47816870732338,13.475149644533849,17.33644209117433,12.471081672506823
MYT,mayotte,bandrele,10569,0.14745869893522087,77.5,22.799301813769777,15.918824417485416,20.52062730009635,14.745869893522087
MYT,mayotte,boueni,7696,0.16227063758776178,77.5,24.127625660139717,17.74721561705668,22.63604164846064,16.22706375877618
MYT,mayotte,chiconi,7923,0.16530561659367163,77.5,24.141337925920734,18.038175342610742,22.96537578459953,16.530561659367162
MYT,mayotte,chirongui,10718,0.15586125519273067,77.5,23.86048171409094,16.85095056108677,21.668807441614632,15.586125519273066
MYT,mayotte,dembeni,14410,0.12264050104949528,77.5,21.46235795797771,13.29268678516207,17.41558579880396,12.264050104949527
MYT,mayotte,dzaoudzi,16311,0.15536173262054714,77.5,23.265761539393907,16.959445049807897,22.06954457715018,15.536173262054714
MYT,mayotte,kani-keli,5499,0.179449543310895,77.5,25.13441575525186,19.8942569501906,24.77985118114015,17.944954331089498
MYT,mayotte,koungou,41332,0.10605168373187591,77.5,20.078120352087137,10.944283979829844,15.25777819543451,10.605168373187592
MYT,mayotte,mamoudzou,69591,0.13269154824937412,77.5,21.934702820841906,14.34002835238703,19.027792082347275,13.269154824937413
MYT,mayotte,mtsamboro,8536,0.1544284327192223,77.5,23.814566617490602,16.949218509590697,21.223596862716697,15.44284327192223
MYT,mayotte,mtsangamouji,7248,0.15958871165531793,77.5,23.79669672254875,17.33455749636833,21.918621214911827,15.958871165531793
MYT,mayotte,ouangani,15657,0.12703786081622098,77.5,21.511721831102033,13.53818224237254,17.90518124709754,12.703786081622098
MYT,mayotte,pamandzi,12457,0.18708380745354283,77.5,25.225302120038474,20.761606056773214,26.519250363971885,18.708380745354283
MYT,mayotte,sada,13973,0.15364881837735517,77.5,23.55340796197925,16.600191464555245,21.550714662420535,15.364881837735517
MYT,mayotte,tsingoni,13378,0.13324737871571143,77.5,22.340075918674135,14.237054990744419,18.825868245734345,13.324737871571143
"NAM",namibia,caprivi,115035,0.15910617452864712,88,24.350113362653865,17.14370883284485,17.96085998110344,15.910617452864711
"NAM",namibia,erongo,234547,0.1826368370583085,88,27.365333557447705,19.000364492902648,20.292552494948435,18.26368370583085
"NAM",namibia,hardap,103197,0.21119411404063024,88,27.101562780231887,22.46242885326892,23.61732189840177,21.119411404063023
"NAM",namibia,karas,95219,0.19912126861377027,88,27.172849788628042,20.86837597681888,22.161482702702536,19.91212686137703
