PUMA,ST,pop_size,perc_born_before_1980,perc_born_before_cessation,perc_foreign_born,overall_cvg,perc_susceptible
3422,17,129450,45.57435303205871,0.41907300115874857,34.5747392815759,0.9089442289990787,70.19210336135096
3500,12,127292,59.090123495584955,0.5224444584105835,13.834333658046067,0.9373759561306876,61.0847818131276
3500,13,140761,49.265776742137376,0.41631559878091234,4.672458990771592,0.9718418343008686,67.4472161265738
3500,18,147075,46.75981642019378,0.3839945605983342,3.090260071392147,0.9313282641677972,71.16402929039656
3500,25,114133,49.474735615466166,0.41163379565944996,16.705072152664,0.9452808048314514,68.86885600976184
3500,37,167757,51.06910590914239,0.42928760051741505,6.213153549479307,0.977065332589689,66.3800404381395
3500,39,131741,50.60839070600648,0.4332667886231317,1.8870359265528576,0.9121012370951578,68.35031341600614
3501,17,170884,39.484094473443974,0.31806956765993305,23.089347159476603,0.9258020915191701,76.78626783119465
3501,42,117285,43.5315684017564,0.35268789700302683,10.816387432322975,0.9318890521833892,73.52585810631969
3501,48,176747,30.663038127945597,0.23358246533180196,11.597367989272803,0.9311429900216264,82.89268852714649
3502,17,173405,26.875810962775006,0.22382284247859058,12.4373576309795,0.9308173661607021,83.47024314110493
3502,42,116816,47.98315299274072,0.4044480208190659,2.3644021366936037,0.9372058938406809,69.40777305706435
3502,48,187078,36.359700231988796,0.30841681010059974,10.197885374015117,0.9323255392139477,76.92255208383607
3503,17,157002,36.14157781429536,0.2969325231525713,31.223169131603417,0.9171395226189036,78.43467929786773
3503,42,183936,41.61229993041058,0.3417166840640223,3.0853122825330552,0.935730690735865,74.2297128109867
3504,17,138915,38.368066803440954,0.3268905445776194,29.80671633732858,0.9198199577609404,76.47675060189492
3504,42,127665,51.003015705165865,0.4440527944229037,9.825715740414367,0.9319238181113649,66.6795826350997
3520,17,132073,46.843033776774966,0.3977042998947552,30.35972530343068,0.9165631227209096,71.54791262133998
3521,17,190403,41.461531593514806,0.35227911324926603,21.891986996003215,0.9276899809380754,74.46389873880767
3522,17,130539,30.26451864959897,0.2334398149212113,21.225840553397834,0.9226526307383668,83.46349266521642
3523,17,175092,36.47453909944486,0.29664404998515065,21.803965915061795,0.9255682895686813,78.66340146723178
3524,17,187809,25.891730428254238,0.20580483363417088,20.67206576894611,0.9264578994912991,85.06239983781032
3525,17,165079,36.54068658036455,0.3129653075194301,20.23940052944348,0.9249211412683195,76.58578716634554
3526,17,161362,39.05194531550179,0.3544948624831125,38.6509835029313,0.9162463960130306,74.60818955535844
3527,17,148160,40.69856911447084,0.3383301835853132,29.40807235421166,0.9163503119569385,76.31238591086684
3528,17,128918,42.60925549574148,0.35954637831800057,10.26311298654959,0.9438054045256532,72.99946947275778
3529,17,190307,39.847719737056444,0.33669281739505114,9.64599305332962,0.9481034986444599,74.23706463081194
3530,17,124833,45.15392564466127,0.3742439899706007,7.473985244286367,0.9488843524821389,71.462433360987
3531,17,126177,44.69118777590211,0.3635607123326755,2.5226467581254903,0.9557139460753995,72.11386667322584
3532,17,131656,41.46108039132284,0.3612520507990521,11.78449899738713,0.9410870291575465,73.02804002406288
3600,13,128015,33.710893254696714,0.2843807366324259,10.616724602585634,0.9589744553501399,78.39356186667023
3600,18,118318,44.95174022549401,0.36184688720228536,4.2258996940448625,0.9351932474452946,72.6990304632134
3600,37,143623,48.343928200914895,0.40004038350403487,6.396607785661071,0.976651824546288,68.65306279437465
3600,39,100809,54.558620758067235,0.45451298991161504,1.422492039401244,0.9083528799306727,66.72215419362672
3601,17,135580,46.87638294733736,0.3820401239120814,8.686384422481192,0.9476220742500637,71.0825017757067
3601,25,141629,47.345529517259884,0.39162177237712614,14.169414456078911,0.9581697033151323,69.78248971668839
3601,42,171345,45.700195511978755,0.3826256966938049,10.341708249438268,0.9330803995558885,71.21984593471508
3601,48,159252,48.447115263858535,0.4164845653429784,6.738376912063898,0.9369404212584264,68.62251141776557
3602,17,171506,46.972117593553584,0.40178186185906034,9.096474758900563,0.9457535144303018,69.52848956578632
3602,25,123080,44.53769905752356,0.38325479363015924,22.328566785830354,0.944080155369561,71.10786746842619
3602,42,123961,50.38923532401319,0.41410604948330526,4.466727438468551,0.9377444959383386,68.68534185408377
3602,48,228860,29.10775146377698,0.24379096390806607,13.110635322904832,0.9307860637749947,81.88146893575907
3603,25,122325,50.054363376251786,0.43890455753116697,30.668301655426117,0.939535966071622,67.29338724675141
3603,42,152862,49.28890110033887,0.4091729795501825,2.6213185749237873,0.9470068113649397,68.81129279629856
3700,13,122047,48.91066556326661,0.39947725056740435,3.73216875466009,0.9704982192251664,68.90096120534419
3700,17,179937,41.38392881953128,0.3068629575907123,6.669556567020679,0.9490094699306592,76.83319408220707
3700,37,128439,49.748908041949875,0.4315355927716659,7.219769696120338,0.9660324033040302,66.49375458328322
3700,39,122009,49.21194338122598,0.39233990935094953,0.3843978722881099,0.8981279991381683,71.55546261819184
3700,48,165407,48.857666241452904,0.4256893601842727,7.376955026087168,0.9357108555716837,67.95997901391996
3701,6,145646,41.46217541161446,0.3408744490064952,15.644782554962031,0.9185317305968023,74.91847581453803
3701,36,104081,44.93423391397085,0.4075191437438149,33.69587148470902,0.9131199539827072,70.45953421398016
3701,42,129305,49.72661536676849,0.42003016124666487,3.126715904257376,0.9416536887865995,68.12443529880252
3702,6,191846,43.73977044087445,0.3747484961896521,23.487589003680036,0.910199467458058,72.8285007733782
3702,36,149124,42.064992891821575,0.3902121724202677,42.71210536198063,0.8995552811630902,72.81710398076208
3702,42,127781,51.73460843161346,0.4347907748413301,6.346013883128164,0.9354583769526157,67.28578223767607
3703,6,163731,37.13774422681105,0.31994552039625973,11.431555417117101,0.9199873125083561,76.48831037090403
3703,36,110744,51.05649064509138,0.4547966481254063,22.573683450119194,0.9278950558353448,66.22859392380383
3704,6,168637,38.334410597911486,0.32354109714949864,21.353558234551137,0.905440864600391,76.95974182583359
3704,36,125400,43.037480063795854,0.3975518341307815,40.08373205741626,0.9074909042791345,71.55023170441154
3705,6,180057,49.44378724515015,0.44146020426864824,33.73431746613572,0.905326923456986,68.20545802710716
3705,36,172379,33.8144437547497,0.30624379999883977,34.27389647230811,0.9148041491006602,78.13509403650762
3706,6,144597,42.575572107305135,0.38503565080879965,37.07753272889479,0.8910057347819361,73.26467767674583
3706,36,151504,33.929137184496774,0.31801800612525083,47.524817826592034,0.8908040505041694,77.94280578448578
3707,6,141339,38.319218333227205,0.34686109283354205,40.97029128549091,0.8794500102251813,76.67762252952944
3707,36,138141,35.61505997495313,0.33139328656951955,45.30443532332906,0.8992580593776802,76.8444386812797
3708,6,134542,45.53968277563884,0.4190438673425399,43.202866019532934,0.8806639323943243,71.26088772780986
3708,36,140488,34.78802459996583,0.31256762143385913,40.07673253231593,0.908715434837022,77.91457905952142
3709,6,116373,49.81481958873622,0.4188170795631289,25.559193283665454,0.9064155280649335,69.71279927247463
3709,36,177936,42.044330545814226,0.37338144051793903,30.74813416059707,0.9203961965913101,72.81891112291112
3710,6,176656,42.31670591431935,0.3780115025812879,38.14362376596323,0.8926714154644564,73.63684240972323
3710,36,147414,34.310852429212964,0.32218106828388077,28.99046223560856,0.9215346509511272,76.73707026761474
3711,6,170141,47.79800283294444,0.4228727937416613,21.93709922946262,0.9129469541153721,69.1886757242322
3712,6,149185,37.86171531990482,0.32607165599758686,31.377819485873243,0.8959770920924408,77.33535567675386
3713,6,105727,47.49212594701448,0.43518684914922395,37.222280023078305,0.9028844203248203,68.95777933285206
3714,6,108889,50.356785350219035,0.47631073845843014,49.573418802633874,0.9034336752809069,65.59821678357928
3715,6,113066,46.373799373817064,0.40153538641147646,37.34986644968426,0.8994229699076833,71.59750668942519
3716,6,112705,43.274033982520734,0.37575972672019875,40.88727208198394,0.8880873076072205,74.2621391171248
3717,6,189410,49.89071326751491,0.46497545008183305,48.32954965418932,0.9077494245949975,66.20146259644405
3718,6,139169,42.60359706543843,0.38452528939634545,30.950858308962488,0.9021690486186891,72.4518577238436
3719,6,198051,46.86924075111966,0.44442593069461905,52.86668585364376,0.8824418166864508,69.06622297925055
3720,6,116270,47.062010836845275,0.40419712737593533,31.437172099423755,0.8989772251417067,71.52223111060901
3721,6,135149,39.73466322355326,0.3481934753494291,37.58296398789484,0.8879665138049889,75.97362762741899
3722,6,166171,39.57670110909846,0.34753356482178,41.9664080976825,0.882942097089432,75.95935494969805
3723,6,150272,36.66551320272573,0.33617706558773425,46.17227427597956,0.8807234042934143,77.0106934418247
3724,6,176728,47.63591507853877,0.4424143316282649,43.55789688108279,0.887248106553642,68.75658911962007
3725,6,191182,45.04922011486437,0.414432321034407,38.767771024468836,0.9000236563854667,70.39664953638716
3726,6,97741,55.49462354590192,0.4853029946491237,18.259481691408926,0.9149858187653351,64.450848998922325
3727,6,152369,47.30752318384973,0.41087097769231273,21.279262842179183,0.9106688212829825,70.16597863818134
